Table 1
FUNCTION 1: NAVIGATION AT THE DECK OPERATIONAL LEVEL,,,,,,,
No.,Questions,Questions,Choice B,Choice C,Choice D,Answer,
2357,"Snow has obliterated surface features and the sky is covered with uniform, altostratus clouds. There are no shadows and the horizon has disappeared. What is this condition called:",Water sky,Aurora reflection,Ice blink,Whiteout,D,
2358,Solid green arrows on the main body of a pilot chart indicate:,prevailing wind directions,probable surface current flow,shortest great circle routes,prevailing ocean current directions,D,
2359,Spring tides occur:,"at the start of spring, when the Sun is nearly over the equator",only when the Sun and Moon are on the same side of the Earth and nearly in line,when the Sun and Moon are at approximately 90° to each other as seen from the Earth,"when the Sun, Moon, and Earth are nearly in line, in any order",D,
2360,"Steaming  South at 10 knots, you estimate the wind speed from the surface as 15 knots. Smoke from the funnel is going away to port directly to abeam. What is the approximate true direction of the wind?",NNW,SSW,WSW,WNW,D,
2361,"TACKLINE is a length of halyard, used to separate each group of flags. What is the length?",2 feet,5 feet,5 meters,2 meters,D,
2362,The accuracy for civilian GPS users can be significantly improve by using:,Tri band GPS,Navsat GPS,Integral GPS,Differential GPS,D,
2363,"The action necessary to transfer the steering control from the wheelhouse to local control in order to use the steering gear room trick wheel, is to:",open the power transfer switch before engaging the trick wheel,always place the rudder in the midship position to engage the trick wheel,set the six-way control valve in the trick wheel position,align the trick wheel to the rudder angle position,D,
2364,The agonic line on an isomagnetic chart indicates the:,magnetic longitude reference line,points where there is no annual change in variation,magnetic equator,points where there is no variation,D,
2365,The alternative sailing in lieu of Great Circle to limit the latitude of vertex.,Mercator sailing,Parallel Sailing,Great circle sailing,Composite sailing,D,
2366,The ARPA may swap targets when automatically tracking if two targets:,are tracked on reciprocal bearings,are tracked at the same range,are tracked on the same bearing,pass close together,D,
2367,The autumnal equinox is the point where the Sun is at:,maximum declination north,maximum declination south,0° declination going to northerly declinations,0° declination going to southerly declinations,D,
2368,The best estimate of the wind direction at sea level can be obtained from observing the direction of the:,cloud movement,swells,vessel heading,waves,D,
2369,The best position for a look-out is:,in the bridge wings,high on the mast,inside the bridge,forward as low as possible,D,
2370,"The BEST way to steer a twin-screw vessel if you lose your
rudder is by using __________.
",one engine and a steering oar,both engines at the same speed,one engine at a time,"one engine running at reduced speed and controlling the
vessel with the other
",D,
2371,The capacity of the UPS shall allow each gyrocompass to provide true ship's heading to indicators in Aft Steering and Pilot House ship control console for how many minutes?,5 Minutes,10 Minutes,20 Minutes,30 Minutes,D,
2372,The climate of the northern Gulf coast:,varies from warm to subtropical,is humid and subtropical throughout the year,has an east coast marine type of climate,is a warm marine type of climate,D,
2373,The closest point of approach (CPA) of a contact on a relative motion radar may be determined:,only if the radar scope is watched constantly,immediately when the contact is noted on radar,by an occasional glance at the radar,after the contact has been marked at least twice,D,
2374,"The code flag GOLF when hoisted, would mean:",I require a doctor,I have a pilot board,I have a doctor on board,I require a pilot,D,
2375,"The code flag OSCAR  when hoisted, would indicate:",I am stopping my engine,a vessel in distress,I am going astern,a man overboard,D,
2376,The compass bearing of a mountain peak was taken as 004deg.  The variation is 7deg. East and the deviation is 10deg. West.  Find the true bearing of the peak as plotted on the chart. ,332° T,000° T,311° T,001° T,D,
2377,The component of the IBS that provides a station where the operator can input warning parameters such as a minimum depth under the keel or maximum cross track error:,Planning Station,Control System,Chart Data Base,System display unit,D,
2378,The Component of the IBS which contains the heart of the whole system is the:,Planning station,Control system,RADAR,Chart data base,D,
2379,"The corrector of a magnetic compass that CANNOT be set to
east or west is:",Fore and Aft tray,Flinders bar,Fore and Aft bar magnets,Heeling magnets,D,
2380,"The database resulting from (1) the transformation of the electronic navigational chart (ENC) by ECDIS for appropriate use, (2) the updates to the ENC by appropriate means, and (3) the additional data added by the mariner, is called the:",chart display information,display base information,standard display information,system electronic navigational chart,D,
2381,The datum from which the predicted heights of tides are reckoned in the tide tables is:,mean low water,the highest possible level,given in table three of the tide tables,the same as that used for the charts of the locality,D,
2382,The datum used for soundings on charts of the Atlantic Coast of the United States is mean:,high water,low water,higher high water,lower low water,D,
2383,The decision has been made to make landfall through a slight surf in an oar-propelled lifeboat. How should the sea anchor be utilized?,"Keep a strain on the tripping and towing lines, as the wave overtakes the craft release the tripping line and backwater","Secure the tripping line, as the wave overtakes the craft release the towing line so the craft can advance to the beach",Keep a strain on the towing and tripping lines to control the advancement of the craft as the waves roll onto the beach,"Secure the towing line, as the wave overtakes the craft pull on the tripping line and order backwater to advance to the beach",D,
2384,The deflection of a wind driven currents to the right of the wind direction in the Northern Hemisphere is caused by ____________. ,variability,sub-surface current,the polar ice caps,the Coriolis force             ,D,
2385,The dew point is reached when the:,temperature of the air equals the temperature of the seawater,atmospheric pressure is 14.7 lbs. per square inch,relative humidity reaches 50%,air becomes saturated with water vapor,D,
