Table 1
FUNCTION 3: CONTROLLING OF OPERATION OF THE SHIP AND  CARE FOR PERSONS ON BOARD AT THE DECK OPERATIONAL LEVEL,,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer,
1716,About the proof test applied to cargo gear which statement is not correct?,The cargo boom must be not more than 15° from the vertical,The proof load is in excess of the safe working load,The test must be conducted at least once every 5 years,The load can be applied by using a scale,D,
1717,"According to 46 CFR part 95, which of the listed fire extinguishers would be considered hand portable and capable of combating a class “B” fire?",2.5 gallons of foam,10 pounds of dry chemical,15 pounds of carbon dioxide,all of the choices,D,
1718,"According to article VII section 21 of the Philippine Constitution, no treaty or international agreement shall be valid and effective unless concurred  by at least how many percent of all the members of the senate?",One eight,One fourth,One half,Three fourths,D,
1719,"According to Pollution Prevention Regulations (33 CFR), when may a person serve as the person-in-charge of both a vessel and a facility during oil transfer operations?",When licensed as a certified refueling officer,Whenever the vessel is short of manpower,Whenever the facility is unmanned,When authorized by the Captain of the Port,D,
1720,"According to regulations, which grade(s) of cargo may be carried in tanks that are vented only with gooseneck vents and flame screens?",B only,B or C,C or D,D or E,D,
1721,"According to SOLAS requirement for lifeboat fall, what action must be taken with the fall at interval of not more than 5 years:",reverse,weight tested,Proof tested,Renewed,D,
1722,According to the Chemical Data Guide which extinguishing agent should be used on a petrolatum fire in an open area?,Monoxide powders,CO2,Dry chemical,Foam,D,
1723,"According to the Code of Safe Practices for Ship's Carrying Timber Deck Cargoes, which of the following is not included in the term ""Timber""?",cant,pulp wood,sawn wood,wood pulp,D,
1724,"According to the IMO Code, what are the minimum number of securing points that should be on each side of a ""road vehicle"", whose gross vehicle mass is between 20 tons and 30 tons, when carried on Ro-Ro vessels?",None of the above,Two,One,Three,D,
1725,"According to the IMO Code, what are the minimum number of securing points that should be on each side of a ""road vehicle"", whose gross vehicle mass is between 3.5 tons and 20 tons, when carried on Ro-Ro vessels?",None of the above,Three,One,Two,D,
1726,"According to the U.S. regulations, what must be agreed upon by the person-in-charge of transfer operations, both ashore and on the vessel?",The size of the slop tank required under 155.330,The status of the oily water separator,"Whether or not the transferring ship is a ""Public Vessel of the United States""",The identity of the product to be transferred,D,
1727,Adding the FSCL to KG yields:,KM,GM,KGT,KGL,D,
1728,Adverse effects due to free surface will become apparent when:,the vessel is trimmed by the stern,the vessels draft is decreased exposing more surface area to the wind and current,"the vessels draft is increased, thus increasing the vessels wetted surface area ",a portion of liquid is removed from a full tank,D,
1729,"After an IOPP Certificate is issued to an inspected vessel, how many other surveys of the vessel's pollution prevention equipment are conducted during the period of validity of the certificate?",Two,None,One,Three,D,
1730,After jacking down your liftboat you have an unexpected list. You find that the only cause of this list must be a flooded leg. To keep adequate stability you should:,get underway with the flooded leg ONLY half raised to reduce KG,proceed with all legs half raised to lower KG,pump out all ballast to increase reserve buoyancy,jack back up and ballast the vessel's high side as necessary,D,
1731,"After ships construction, the reasons why the “plimsoll” mark is welded at the center on both sides of the vessel are to:I. know the maximum draft at full loadII. know maximum draft at different portsIII. know maximum draft in fresh water",I only,II only,I and II,"I, II and III",D,
1732,"After transferring a weight forward on a vessel, the draft at the center of flotation will:","change, depending on the location of the LCG",increase,decrease,remain constant,D,
1733,All life jackets carried on board small passenger vessels are required to be marked:,with the maximum serviceable life of the life preserver,with the vessel's official number,with the maximum weight to be held by the life preserver,with the vessel's name,D,
1734,"All lifeboats, rescue boats, and rigid-type liferafts shall be stripped, cleaned, and thoroughly overhauled at least once every:",two years,6 months,18 months,year,D,
1735,"Ambient air, which you normally breathe, contains what percent of oxygen?",6%,10%,15%,21%,D,
1736,"Among the choices, which does not affect the correction of the free surface?",Tank width,Tank length,Specific gravity of the fluid,Tonnage,D,
1737,An accommodation ladder or other equally safe and convenient means must be provided for a pilot whenever the distance from the sea level is more than ______________.,15 meters,6 meters,12 meters,9 meters,D,
1738,An emergency treatment for a surface bleeding includes:,pressure over point of bleeding,elevate part with wound above the heart,apply sterile dressing with pressure,all of the choices,D,
1739,An inclined semisubmersible with a very short rolling period about a constant angle of list is likely to have:,An LCG greater than level vessel LCB,A negative GM,Excessive free surfaces,An off-center TCG,D,
1740,"An increase in Breadth of the vessel will increase ""BM"". This in turn increases:",GM ,KG,KM,GZ,D,
1741,An individual must be which of the following to serve as the person in charge of oil cargo transfer operations onboard a self-propelled tank vessel?,Have a letter from the company stating his qualification,Be licensed only,Be 30 years old,Be a certified tankerman (PIC),D,
1742,An inert gas system installed on a tanker is designed to:,aid in the stripping and cleaning of cargo tanks,increase the rate of discharge of cargo,force toxic and explosive fumes from a cargo tank to vent to the outside atmosphere,"lower the oxygen levels inside cargo tanks, making explosion nearly impossible",D,
1743,An inert gas system is designed to reduce the possibility of tank explosions by:,eliminating sparks and fire in the vicinity of cargo tanks,removing all hydrocarbon gases from the cargo tanks,blanketing cargo tanks with inert foam,reducing the oxygen concentration below levels necessary for combustion,D,
