Table 1
FUNCTION 2: CARGO HANDLING AND STOWAGE AT THE DECK OPERATIONAL LEVEL,,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer,
1581,The stowage factor for a cargo is based upon:,one short ton,one short metric ton,one long metric ton,one long ton,D,
1582,The SWL marking and the minimum angle to the horizontal for which the gear is designed shall be marked on the:,mast post where the boom is attached,booms neck portion,masthouse near the boom,heel of the boom,D,
1583,The tail end shaft may then be withdrawn into the tunnel and the propeller can then be removed from the aperture. Withdrawal of the tail end shaft is generally required every ________.,2.5 years,three years,six years,five years,D,
1584,"The total weight of the bulk grain shall not exceed __________ of the deadweight of the ship if she has no Document of Authorization under the provision of the International Grain Code (IG Code), Regulation 9.",one fourth,one half,one fifth,one third,D,
1585,"The true mean draft of the vessel is 5.278 m, LBP 148 m and LCF 65 m FOAP. Find the draft aft if the trim is 1.28 m by the stern.",5.743 m,5.804 m,5.904,5.840 m,D,
1586,The used of liners in riveted construction is eliminated by using:,belted construction, lapped construction,strapped construction,joggled construction,D,
1587,"The VCG of a cargo is 10 feet weighing 10,000 tons are loaded in your ship.  KG at this time is 28 feet, displacement of your vessel is 16,000 tons.  Find the new KG after loading this cargo.",26.08 ft.,27.08 ft.,25.08 ft.,21.08 ft.,D,
1588,The vertical distance between the light draft and the SLWL is termed as _____________,summer freeboard,dock water allowance,fresh water allowance,boot-topping,D,
1589,"The vertical distance measured at the FP, from the waterline to the uppermost deck exposed to the weather is called ____________",FP height from waterline,vertical safety margin height,statutory freeboard,bow height,D,
1590,The vertical distance top to top between the load line marks “S” and “F” is the:,summer allowance,dock water allowance,tropical allowance,fresh water allowance,D,
1591,The weight a vessel can carry is called the ________.,Load Displacement,Registered Tonnage,Gross Tonnage, Deadweight,D,
1592,The welds used to attach stiffeners to a plate are known as, plate welds, butt welds,seam welds,fillet welds,D,
1593,The whole vessel moves along the longitudinal axis while underway.,swaying,pitching,rolling,surging,D,
1594,"There is a large shipment of case goods available to be loaded on your vessel. You are to load as many tons as possible in a hold which has 32,300 cubic feet left unfilled by cargo. Each case measures 2-feet high by 2-feet wide by 4-feet long and weighs 500 pounds. If you allow a broken stowage allowance of 10% of the 32,300 feet, what is the nearest whole number of tons which may be loaded?",324 tons,360 tons,363 tons,406 tons,D,
1595,Thieving in a tank can be determined by using ___________,oily water indicator,sounding rod soaked by chalk powder,tank radar manometer gauge,litmus paste,D,
1596,This is a liquid filled containment structure on deck used to prevent the cargo tank from being subjected to either extreme positive or negative pressures.,deck water seal unit,forward IG mast riser ,mechanical pressure breakers,pressure vacuum breakers,D,
1597,This refers to the measurements of structural members.,Pillar shape,Carling,Wale shores,Scantlings,D,
1598,"This will inform the officer if the ship is in stable, unstable or neutral equilibrium. It can also indicate if the ship's stability is approaching a dangerous state.",metacentric radius ,statical stability diagram and cross curves,ship's final height of center of gravity above the keel,final transverse metacentric height,D,
1599,"To check stability, a weight of 40 tons is lifted with the jumbo boom, whose head is 40 feet from the ships centerline.  The clinometer shows a list of 6.5 degrees with the weight suspended; displacement including weight is 16,000 tons.  The GM while in this condition is:",1.02 feet,0.21 foot,0.43 foot,0.88 foot,D,
1600,"To check the container stowage plan, what document or equipment will the officer in charge rely upon?",The stowage plan from the previous port of call,The original stowage plan from the shipowner's 'central' planner,The stowage plan that was used the last time the ship called at that port,The ship's cargo securing manual and loading computer,D,
1601,"To prevent oil from escaping into the sea when ballasting through the cargo piping system, you should FIRST:",Start the cargo pump and close the sea chest,"Stop the cargo pump, then close sea suction valves",Start the suction valves and open the sea chest,"Start the cargo pump, then open sea suction valves",D,
1602,"To provide ventilation and drainage for cargo, what shall be fitted?",wood strips,wooden pallet ,battens,dunnages,D,
1603,"To reduce the number of strakes at the bow, two strakes are tapered and joined at their ends by a single plate. This plate is known as:",Joiner,cover plate,lap strake,stealer plate,D,
1604,Transverse moments caused by the transverse movement of grain in a compartment is called __________.,transverse heeling moment ,transverse grain moment,grain righting moment of inertia,grain heeling moment,D,
1605,Ullage is the term used to describe:,the depth of cargo remaining in a tank,the residue of “sludge” left in a tank, the volume of cargo remaining,the vertical space above a liquid cargo,D,
1606,Ultrasonic testing is used to determine the thickness of a vessels shell plating and to:, test the links of the anchor cables while being ranged, provide tail shaft clearance,check the wear of the rudder carrier bearing,test welds for subsurface defects,D,
1607,"Under normal weather and sea conditions when securing a stack of containers with twist locks, lashings are required when the tier exceeds what height?",One container,Three containers,Lashings are always required,Two containers,D,
1608,"Under the Carriage of Goods by Sea Act of 1936, a vessel will be liable for damage to a cargo when the damage arises out of __________.",strikes or lockouts,fire caused by fault of the carrier,delays due to seizure of the vessel,improper stowage,D,
1609,"Vessel “A” and “B” are identical; however, “A” is more tender than “B”. This means that “A” relative to “B” has a _______.",smaller roll angle,larger GZ,lower KG,smaller GM,D,
1610,Wale shores would be used when drydocking vessel with:,a list,tumble home,excessive trim,excessive deadrise,D,
1611,What affords the best ventilation for a bagged cargo?,full bag stowage,Stowing alternate tiers of bags athwart vessels. ,“Half-bag stowage” where an upper bag rests in the space between two lower bags ,“Bag-on-bag stowage” where one bag is stowed directly on top of the other,D,
1612,What are substances the belongs to Class 7 of the International Maritime Dangerous Goods Code:,hazardous material,flammable material,toxic material,radio active material,D,
1613,What characteristic determines when a grade C product will start to vaporize:,The flammable range,Its filling density,Its ignition point,Its flash point,D,
1614,What device will be activated while loading a LNG tank and the HI-HI liquid level set point is reached?,No shutdown required.,Overflow shutdown.,Remote shutdown valve control.,Emergency shutdown.,D,
1615,What do gas compressors on an LNG vessels provide the motive force to do?,Circulate gas when warming up the tanks,Deliver boil-off gas to the engine room,Deliver gas ashore when loading,all of the choices,D,
1616,"What do you call the effect of the “movement of liquid”, in a slack tank?",Rolling period effect,The open surface effect,Bow wave effect,Free surface effects,D,
1617,What does a bilge soundings indicate?,The amount of condensation in the hold,Whether the cargo is leaking or not,Whether the vessel is taking on water,all of the choices,D,
